id_guide,name_desp,dir_derp,name_rec,dir_rec,date,heigth,presio,city_desp,city_rec,consecutivo,n1,n2,n3,n4
679761,Richard Austin,755 Nobel Road,Stephen Kennedy,4 Fremont Crossing,2013-09-21,49.16,601,San Anselmo,Blue Lake,1,50,6727782,63,28
856309,Terry Gray,9 Bultman Terrace,Edward Griffin,153 Kropf Park,2013-09-08,90.11,483,Pico Rivera,Alameda,2,91,6727776,11,68
577141,Anthony Vasquez,4921 Scofield Junction,Jeffrey Matthews,98697 Lawn Park,2014-01-18,76.5,551,San Leandro,Newman,3,15,6864019,95,93
129669,Joshua Ramos,163 Muir Pass,Antonio Lopez,356 Lien Pass,2014-02-22,62.41,668,Oxnard,Bell Gardens,4,5,6787154,82,6
791440,Cynthia Gomez,6185 Pepper Wood Road,Jacqueline Stevens,6934 Bunker Hill Junction,2013-11-12,23.23,697,Rancho Cordova,Azusa,5,30,6811131,42,28
759163,Anne Spencer,85 Butternut Terrace,Carol Daniels,028 Kenwood Pass,2014-07-11,45.69,786,Ferndale,Artesia,6,83,6827456,61,40
323503,Todd Fowler,1 Mendota Hill,Brandon Ford,8 Arkansas Terrace,2013-11-27,89.26,542,Grass Valley,Santa Rosa,7,37,6537221,100,84
645910,Rose Montgomery,946 Nova Lane,Carolyn Crawford,78 Kennedy Park,2014-03-25,32.14,734,Morro Bay,Pleasant Hill,8,13,6863315,45,6
629645,Virginia Carter,6154 Shopko Crossing,Kathleen Henderson,854 Delaware Drive,2013-10-14,26.35,597,Long Beach,Fremont,9,60,6650505,99,62
589659,Ryan Oliver,5577 Ruskin Parkway,Norma Fields,628 Bobwhite Hill,2014-04-22,90.44,578,Waterford,Studio City,10,54,6737516,70,10
811613,Edward Stewart,647 Macpherson Alley,Jerry Butler,3652 Sunbrook Hill,2014-05-28,18.35,522,Hollister,Red Bluff,11,44,6611326,44,46
781321,Elizabeth Sullivan,118 North Street,Carl Marshall,0 Warrior Court,2014-02-13,89.87,604,Williams,Fremont,12,92,6536620,13,40
753418,Donald Wagner,92 Northport Trail,Paula Snyder,01 Memorial Trail,2014-01-27,48.25,786,Claremont,Redding,13,78,6554220,62,58
280195,Adam Davis,3475 Wayridge Court,Ruth Alvarez,9667 Granby Avenue,2014-08-17,35.71,612,Firebaugh,Del Rey Oaks,14,97,6721361,67,18
668543,Antonio Smith,58 Becker Point,Stephen Bailey,62040 7th Street,2013-11-17,7.38,548,Solana Beach,Piedmont,15,73,6821078,64,13
188219,Rose Wood,467 Beilfuss Avenue,Linda Palmer,8 Arapahoe Drive,2014-06-30,25.32,770,Fort Bragg,South Gate,16,85,6785834,48,52
889678,Shirley Wilson,40 Waxwing Pass,Julia Hart,69 Parkside Street,2014-08-23,13.6,770,Plymouth,Fort Bragg,17,14,6593009,12,54
644650,Maria Martinez,47731 Brickson Park Drive,Steve Henderson,96 Arkansas Terrace,2013-11-16,87.94,503,Greenfield,Imperial Beach,18,49,6822102,4,84
325631,Sharon Henderson,8 Fairview Avenue,Kathleen Lee,1210 Washington Circle,2014-08-25,92.53,545,Norco,Del Rey Oaks,19,78,6847093,5,91
824630,Jacqueline Morales,95177 Lotheville Circle,Timothy Gibson,75 Northport Terrace,2014-06-10,20.5,549,Lafayette,Rolling Hills Estates,20,10,6580283,39,26
522062,Jeremy Medina,78019 Ridge Oak Plaza,Jack Miller,22 Elgar Pass,2013-11-09,75.17,631,Mission Viejo,Albany,21,52,6787678,8,1
516671,Adam Armstrong,60 Sugar Trail,Anthony Mccoy,105 Brown Road,2014-04-17,14.19,590,Fillmore,Daly City,22,23,6690014,48,40
760822,Russell Flores,6316 Westerfield Drive,Nancy Myers,95 Service Plaza,2014-06-04,78.54,495,Novato,Angels Camp,23,79,6896195,93,14
643393,Wanda Hicks,2459 Springview Plaza,Sean Hawkins,9 Becker Terrace,2014-07-11,10.87,697,Lafayette,Fountain Valley,24,94,6804834,20,65
460565,Teresa Shaw,6 Elka Park,Pamela Peterson,23 Shopko Lane,2014-06-04,12.1,705,Point Arena,Inglewood,25,7,6648944,12,58
467972,Peter Perkins,64209 Sycamore Court,Mark Marshall,154 Jenifer Point,2013-12-11,71.97,540,Lake Elsinore,Benicia,26,88,6558393,27,80
854790,Louise Warren,691 Grover Junction,Justin Harvey,27418 Esch Trail,2014-03-20,21.57,800,Vacaville,Chico,27,64,6655318,27,33
150844,Albert Reid,42594 Hauk Terrace,Elizabeth Stephens,5013 Fair Oaks Parkway,2013-09-16,57.47,485,Redwood City,Firebaugh,28,64,6879708,58,71
585665,Daniel Daniels,9909 Trailsway Parkway,Charles Little,495 Darwin Pass,2013-11-23,23.47,776,Los Gatos,Bishop,29,41,6602054,3,66
790288,Paula Black,437 Northland Pass,Albert Jackson,6339 Transport Circle,2014-04-08,77.26,766,La Habra,Escondido,30,37,6847086,94,74
796812,Charles Taylor,72640 Russell Terrace,Nicholas Rose,81 Manley Place,2014-03-01,34.52,471,Westlake Village,San Luis Obispo,31,83,6873704,63,58
119170,Craig Fox,41886 Mendota Plaza,Brandon Howard,303 Cambridge Place,2013-10-06,8.41,778,Whittier,San Diego,32,94,6819379,9,25
527103,David Myers,14042 Monument Place,Virginia Evans,1824 Tennessee Street,2013-10-23,98.49,626,Dorris,Greenfield,33,11,6555158,96,84
136071,Raymond Roberts,955 Bay Court,Justin Armstrong,329 Daystar Street,2013-12-09,83.74,763,Lincoln,Needles,34,39,6843737,28,10
621448,James Baker,41377 Dovetail Park,Raymond Gilbert,0 Hoffman Junction,2014-08-08,93.77,497,Monte Sereno,Beaumont,35,46,6762996,75,69
119622,Peter Elliott,85 Sauthoff Circle,Douglas Warren,5861 Lindbergh Circle,2013-11-09,23.43,561,San Ramon,Greenfield,36,16,6860617,56,59
334520,Scott Mitchell,4508 Blue Bill Park Park,Dorothy Patterson,1 Express Court,2014-08-22,47.11,642,Huntington Beach,Upland,37,20,6813762,7,79
442423,Carlos Turner,3088 Farragut Hill,Joyce Chavez,0164 Cherokee Alley,2014-02-25,37.11,542,Santa Cruz,San Dimas,38,8,6840002,92,60
